7898014561838##ALCANATAN                                    250MG FR 150ML##16,62 
7896004705842##ATENOLOL                                     100MG CX 30 COMP##26,63 
7896676411638##ATENOLOL                                     100MG CX 30 COMP##23,82 
7898148290802##ATENOLOL                                     100MG CX 30 COMP##22,89 
7896004709055##ATENOLOL                                     100MG CX 30 COMP##21,19 
7894916144223##ATENOLOL                                     100MG CX 30 COMP##21,71 
7898932797265##ATENOLOL                                     100MG CX 30 COMP REV##35,76 
7896004705835##ATENOLOL                                     100MG CX 60 COMP##48,76 
7898148290789##ATENOLOL                                     100MG CX 600 COMP EMB HOSP##215,36 
7898932797289##ATENOLOL                                     100MG CX 600 COMP REV HOSP##715,68 
7896472508792##ATENOLOL                                     25MG CX 28 COMP##8,22 
7899547503159##ATENOLOL                                     25MG CX 280 COMP EMB FRAC##104,96 
7894916144209##ATENOLOL                                     25MG CX 2BL X 15 COMP##9,11 
7896004705781##ATENOLOL                                     25MG CX 30 COMP##9,38 
7896676411676##ATENOLOL                                     25MG CX 30 COMP##9,46 
7898148290772##ATENOLOL                                     25MG CX 30 COMP##4,38 
7896004709024##ATENOLOL                                     25MG CX 30 COMP##8,64 
7898932797203##ATENOLOL                                     25MG CX 30 COMP REV##13,44 
7898932797210##ATENOLOL                                     25MG CX 300 COMP REV HOSP##134,49 
7896004705880##ATENOLOL                                     25MG CX 60 COMP##17,89 
7898148290758##ATENOLOL                                     25MG CX 600 COMP EMB HOSP##92,29 
7898932797227##ATENOLOL                                     25MG CX 600 COMP REV HOSP##269,00 
7896472508822##ATENOLOL                                     50MG CX 28 COMP##10,16 
7894916144216##ATENOLOL                                     50MG CX 2BL X 15 COMP##12,52 
7896714215129##ATENOLOL                                     50MG CX 30 COMP##15,20 
7896004705873##ATENOLOL                                     50MG CX 30 COMP##15,22 
7896676411669##ATENOLOL                                     50MG CX 30 COMP##14,94 
7898148290840##ATENOLOL                                     50MG CX 30 COMP##15,23 
7896004709031##ATENOLOL                                     50MG CX 30 COMP##12,18 
7898932797234##ATENOLOL                                     50MG CX 30 COMP REV##20,68 
7898148290833##ATENOLOL                                     50MG CX 300 COMP EMB HOSP##49,70 
7896004705866##ATENOLOL                                     50MG CX 60 COMP##27,43 
7898148290826##ATENOLOL                                     50MG CX 600 COMP EMB HOSP##104,60 
7898932797258##ATENOLOL                                     50MG CX 600 COMP REV HOSP##413,47 
7896422506366##ATENOLOL                                     100MG CX 30 COMP##26,61 
7896472513352##ATENOLOL                                     100MG CX 30 COMP##16,56 
7898049793723##ATENOLOL                                     100MG CX 30 COMP##17,81 
7896181900382##ATENOLOL                                     100MG CX 30 COMP##23,45 
7897595602596##ATENOLOL                                     100MG CX 30 COMP REV##22,85 
7897595605436##ATENOLOL                                     100MG CX 60 COMP REV##34,28 
7896422506342##ATENOLOL                                     25MG CX 30 COMP##9,35 
7896472513338##ATENOLOL                                     25MG CX 30 COMP##8,74 
7898049792979##ATENOLOL                                     25MG CX 30 COMP##8,97 
7896181900122##ATENOLOL                                     25MG CX 30 COMP##8,33 
7897595602572##ATENOLOL                                     25MG CX 30 COMP REV##9,28 
7897595605412##ATENOLOL                                     25MG CX 60 COMP REV##14,13 
7896422506359##ATENOLOL                                     50MG CX 30 COMP##15,56 
7896472513345##ATENOLOL                                     50MG CX 30 COMP##10,80 
7898049793631##ATENOLOL                                     50MG CX 30 COMP##12,90 
7896181901006##ATENOLOL                                     50MG CX 30 COMP##12,38 
7897595602589##ATENOLOL                                     50MG CX 30 COMP REV##13,22 
7897595605429##ATENOLOL                                     50MG CX 60 COMP REV##19,86 
7898361880644##ATENOLOL                                     100MG CX 14 COMP##16,50 
7896112149576##ATENOLOL                                     100MG CX 28 COMP##17,62 
7898361880651##ATENOLOL                                     100MG CX 28 COMP##17,48 
7898216362271##ATENOLOL                                     100MG CX 30 COMP##24,38 
7897076910158##ATENOLOL                                     100MG CX 30 COMP##19,56 
7898361883768##ATENOLOL                                     100MG CX 30 COMP##19,43 
7895296299084##ATENOLOL                                     100MG CX 30 COMP##26,60 
7898932797272##ATENOLOL                                     100MG CX 300 COMP REV (EMB HOSP)##357,83 
7898216362301##ATENOLOL                                     100MG CX 500 COMP EMB HOSP##182,41 
7898361883775##ATENOLOL                                     100MG CX 60 COMP##70,83 
7896112176497##ATENOLOL                                     100MG CX 60 COMP##37,76 
7898361880606##ATENOLOL                                     25MG CX 14 COMP##6,22 
7898361880613##ATENOLOL                                     25MG CX 28 COMP##5,90 
7898216362257##ATENOLOL                                     25MG CX 30 COMP##7,67 
7897076910097##ATENOLOL                                     25MG CX 30 COMP##7,95 
7898361883720##ATENOLOL                                     25MG CX 30 COMP##7,77 
7895296299022##ATENOLOL                                     25MG CX 30 COMP##9,32 
7898216362400##ATENOLOL                                     25MG CX 500 COMP EMB HOSP##78,16 
7898361883737##ATENOLOL                                     25MG CX 60 COMP##26,92 
7898361880620##ATENOLOL                                     50MG CX 14 COMP##9,55 
7898361880637##ATENOLOL                                     50MG CX 28 COMP##10,34 
7898216362264##ATENOLOL                                     50MG CX 30 COMP##15,23 
7897076910110##ATENOLOL                                     50MG CX 30 COMP##11,21 
7896112125495##ATENOLOL                                     50MG CX 30 COMP##12,01 
7898361883744##ATENOLOL                                     50MG CX 30 COMP##10,77 
7895296299053##ATENOLOL                                     50MG CX 30 COMP##15,22 
7898932797272##ATENOLOL                                     50MG CX 300 COMP REV (EMB HOSP)##206,73 
7898216362295##ATENOLOL                                     50MG CX 500 COMP EMB HOSP##88,63 
7898361883751##ATENOLOL                                     50MG CX 60 COMP##41,08 
7896112176435##ATENOLOL                                     50MG CX 60 COMP##24,05 
7896004709123##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##28,59 
7896004709147##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##25,25 
7894916144681##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##28,12 
7896004719788##ATENOLOL+CLORTALIDONA                        100+25MG CX 90 COMP##77,26 
7896004709130##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##17,86 
7896004709154##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##16,83 
7894916144698##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##16,83 
7896004719771##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 90 COMP##48,28 
7896422515658##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##28,51 
7896422516075##ATENOLOL+CLORTALIDONA                        100+25MG CX 60 COMP##48,50 
7896422515641##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##17,81 
7896422516068##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 60 COMP##28,51 
7896181907343##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##26,33 
7896181911159##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##16,46 
7891317444747##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##25,26 
7896112114383##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##24,49 
7899095236202##ATENOLOL+CLORTALIDONA                        100+25MG CX 30 COMP##26,70 
7896112126928##ATENOLOL+CLORTALIDONA                        100+25MG CX 60 COMP EMB HOSP##45,50 
7891317451035##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##16,73 
7896112114390##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##16,86 
7899095236172##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 30 COMP##17,15 
7896112129769##ATENOLOL+CLORTALIDONA                        50+12,5MG CX 60 COMP EMB HOSP##31,33 
7897595612137##ATENOPRESS                                   100MG CX 28 COMP##28,50 
7897595612144##ATENOPRESS                                   100MG CX 30 COMP##28,67 
7897595612090##ATENOPRESS                                   25MG CX 28 COMP##14,21 
7897595612106##ATENOPRESS                                   25MG CX 30 COMP##6,20 
7897595612113##ATENOPRESS                                   50MG CX 28 COMP##18,54 
7897595612120##ATENOPRESS                                   50MG CX 30 COMP##18,72 
7897595612182##ATENORESE                                    100+25MG CX 30 COMP REV##31,88 
7897595612168##ATENORESE                                    50+12,5MG X 30 COMP REV##19,31 
7896714200347##ATENORIC                                     100+25MG CX 28 CAP##37,77 
7898078942468##ATENOTON                                     50MG CX 28 COMP##8,46 
7896026300162##ATENSINA                                     0,100MG CX 30 COMP##4,49 
7896026300179##ATENSINA                                     0,150MG CX 30 COMP##5,58 
7896026300186##ATENSINA                                     0,200MG CX 30 COMP##6,92 
7896112141877##ATEPRESS                                     100MG CX 28 COMP##28,57 
7896112141860##ATEPRESS                                     50MG CX 28 COMP##18,16 
7896112423027##ATEROGREL                                    75MG CX 30 COMP REV##46,10 
7896112423034##ATEROGREL                                    75MG CX 60 COMP REV##87,60 
7898943707000##ATEROMA                                      10MG CX 10 COMP REV##12,34 
7898943707024##ATEROMA                                      10MG CX 30 COMP REV##37,04 
7898943707062##ATEROMA                                      20MG CX 10 COMP REV##12,34 
7898943707086##ATEROMA                                      20MG CX 30 COMP REV##37,04 
7898943707123##ATEROMA                                      40MG CX 10 COMP REV##24,70 
7898943707147##ATEROMA                                      40MG CX 30 COMP REV##74,08 
7896183844882##ATILLUS MULTI                                PO ORAL CX 15 SACHES X 7##40,33 
7898096577093##ATINAC                                       10MG CX 12 COMP##21,23 
7898096577086##ATINAC                                       10MG CX 6 COMP##11,95 
7897595901439##ATLANSIL                                     100MG CX 20 COMP##10,78 
7897595900630##ATLANSIL                                     150MG SOL INJ CX 50AMP X 3ML##104,54 
7897595900630##ATLANSIL                                     150MG SOL INJ X 50AMP X 3ML##104,54 
7897595900654##ATLANSIL                                     200MG CX 20 COMP##20,58 
7891317431921##ATMOS                                        2,5+10MG CX 30 CAP##46,33 
7891317431945##ATMOS                                        5+10MG CX 30 CAP##70,04 
7891317431938##ATMOS                                        5+20MG CX 30 CAP##70,04 
7896004729343##ATORLESS                                     10MG CX 3BL X 10 COMP REV##37,04 
7896004729350##ATORLESS                                     20MG CX 3BL X 10 COMP REV##37,04 
7896004793610##ATORLESS                                     40MG CX 3BL X 10 COMP REV##74,08 
7896004729428##ATORVASTATINA                                10MG CX 3BL X 10 COMP REV##56,60 
7896004729466##ATORVASTATINA                                10MG CX 3BL X 10 COMP REV##56,60 
7894916146050##ATORVASTATINA                                10MG CX 3BL X 10 COMP REV##39,38 
7896004737041##ATORVASTATINA                                10MG CX 6BL X 10 COMP REV##101,87 
7896004729435##ATORVASTATINA                                20MG CX 3BL X 10 COMP REV##56,60 
7896004729473##ATORVASTATINA                                20MG CX 3BL X 10 COMP REV##56,60 
7894916146067##ATORVASTATINA                                20MG CX 3BL X 10 COMP REV##39,38 
7896004737058##ATORVASTATINA                                20MG CX 6BL X 10 COMP REV##101,87 
7896004729442##ATORVASTATINA                                40MG CX 3BL X 10 COMP REV##113,17 
7896004729480##ATORVASTATINA                                40MG CX 3BL X 10 COMP REV##113,17 
7894916146074##ATORVASTATINA                                40MG CX 3BL X 10 COMP REV##77,81 
7896004737065##ATORVASTATINA                                40MG CX 6BL X 10 COMP REV##203,69 
7896004729459##ATORVASTATINA                                80MG CX 5BL X 6 COMP REV##113,17 
7896004729497##ATORVASTATINA                                80MG CX 5BL X 6 COMP REV##113,17 
7894916146081##ATORVASTATINA                                80MG CX 5BL X 6 COMP REV##113,17 
7896112159100##ATORVASTATINA CALCICA                        10MG/G CX 30 COMP REV##39,38 
7896112169093##ATORVASTATINA CALCICA                        10MG/G CX 60 COMP REV##78,76 
7896112159117##ATORVASTATINA CALCICA                        20MG/G CX 30 COMP REV##39,38 
7896112169178##ATORVASTATINA CALCICA                        20MG/G CX 60 COMP REV##78,76 
7896422520959##ATORVASTATINA CALCICA                        10MG CX 30 COMP REV##78,46 
7891045012034##ATORVASTATINA CALCICA                        10MG CX 30 COMP REV##39,38 
7896422520966##ATORVASTATINA CALCICA                        20MG CX 30 COMP REV##76,70 
7891045012089##ATORVASTATINA CALCICA                        20MG CX 30 COMP REV##39,38 
7896422525848##ATORVASTATINA CALCICA                        40MG CX 30 COMP REV##141,66 
7896422525855##ATORVASTATINA CALCICA                        80MG CX 30 COMP REV##141,66 
7891317489328##ATORVASTATINA CALCICA                        10MG CX 30 COMP REV##39,38 
7896714234366##ATORVASTATINA CALCICA                        10MG CX 30 COMP REV##39,38 
7895296087032##ATORVASTATINA CALCICA                        10MG CX 30 COMP REV##39,38 
7896714234380##ATORVASTATINA CALCICA                        10MG CX 60 COMP REV##63,01 
7895296087056##ATORVASTATINA CALCICA                        10MG CX 60 COMP REV##70,88 
7891317489366##ATORVASTATINA CALCICA                        20MG CX 30 COMP REV##39,38 
7896714234410##ATORVASTATINA CALCICA                        20MG CX 30 COMP REV##39,38 
7895296087087##ATORVASTATINA CALCICA                        20MG CX 30 COMP REV##39,38 
7895296087100##ATORVASTATINA CALCICA                        20MG CX 60 COMP REV##70,88 
7896714234434##ATORVASTATINA CALCICA                        20MG CX 60 COMP REV##63,01 
7891317489403##ATORVASTATINA CALCICA                        40MG CX 30 COMP REV##78,76 
7896714234465##ATORVASTATINA CALCICA                        40MG CX 30 COMP REV##78,76 
7895296087131##ATORVASTATINA CALCICA                        40MG CX 30 COMP REV##78,76 
7896714234519##ATORVASTATINA CALCICA                        80MG CX 30 COMP REV##78,76 
7896714237930##ATORVASTEROL                                 10MG CX 30 COMP REV##48,88 
7896714238074##ATORVASTEROL                                 20MG CX 30 COMP REV##48,88 
7896714238210##ATORVASTEROL                                 40MG CX 30 COMP REV##88,16 
7896714238357##ATORVASTEROL                                 80MG CX 30 COMP REV##88,16 
7898109240020##ATOSSION                                     3MG XPE FR 100ML##8,33 
7898109240037##ATOSSION                                     FR 60ML PED##5,56 
7896094208193##ATRED                                        100 MG PO LIOF 1 FA OR##1.193,39 
7896094208186##ATRED                                        500 MG PO LIOF 1 FA OR##5.967,00 
7897316801130##ATROPINA                                     0,5% SOL OFT OCUL FR 5ML##5,57 
7897316801154##ATROPINA                                     1% SOL OFT COL FR 5ML##6,29 
7896242150305##ATROPION                                     0,25MG SOL INJ CX 100 AMP X 1ML##51,78 
7896242150312##ATROPION                                     0,5MG SOL INJ CX 100 AMP X 1ML##51,91 
7896014688135##ATROPION                                     0,25MG/ML SOL INJ CX 100 AMP X 1ML##55,75 
7896014688142##ATROPION                                     0,5MG/ML SOL INJ CX 100 NAMP X 1ML##55,77 
7896026300216##ATROVENT                                     0,25MG SOL INAL FR 20ML##13,48 
7896026302432##ATROVENT N                                   20MCG AER FR 10ML+BOCAL 200 DOS##18,06 
7891104195067##ATROVERAN                                    10MG SOL OR FR 30ML##14,03 
7896094981126##ATROVERAN COMPOSTO                           30MG CX 20 COMP##8,90 
7891104191090##ATROVERAN COMPOSTO                           30MG DISPLAY 25BL X 6 ENV##68,09 
7896862917029##ATROVEX                                      10+250MG CX 100 COMP REV##45,57 
7896862910785##ATROVEX                                      10+250MG CX 20 COMP REV##9,12 
7896862940096##ATROVEX                                      6,67+333,4MG/ML SOL FR GTS 20ML##5,62 
7897595903273##ATURGYL                                      0,5MG/ML SOL NASAL CT FR X 15ML##8,54 
7898328480498##AUBAGIO                                      14MG CX 30 COMP REV##4.654,57 
7898089300011##AURIS-SEDINA                                 18,6+1,3MG SOL OTO FR GTS 10ML##10,89 
7898361880798##AUROPENNZ                                    1+0,5G PO SOL INJ CX 20FA X 30ML EMB HOSP##399,08 
7898361880804##AUROPENNZ                                    1+0,5G PO SOL INJ CX 30FA X 30ML EMB HOSP##598,62 
7898361880811##AUROPENNZ                                    2+1G PO SOL INJ CX 20FA X 30ML EMB HOSP##703,28 
7898361880828##AUROPENNZ                                    2+1G PO SOL INJ CX 30FA X 30ML EMB HOSP##1.054,90 
7896226500881##AURORIX                                      150MG 30 CLAQ##73,69 
7896226500881##AURORIX                                      150MG CX 30 COMP##68,42 
7896226500867##AURORIX                                      300MG 30 CLAQ##134,04 
7896226500867##AURORIX                                      300MG CX 30 COMP##124,46 
7898361880774##AUROTAZ-P                                    2+0,25G PO LIOF SOL INJ FAX30ML##50,72 
7898361880781##AUROTAZ-P                                    4+0,5G PO LIOF SOL INJ FAX40ML##81,20 
7891106904568##AVADEN                                       1+1+0,025MG CX 28 COMP REV##37,38 
7899420502330##AVAL                                         160MG CX 30 COMP REV##23,27 
7899420502378##AVAL                                         320MG CX 30 COMP REV##23,27 
7899420502316##AVAL                                         80MG CX 30 COMP REV##23,27 
7891106004329##AVALOX                                       1,6MG/ML SOL INJ BOLSA 250ML##151,19 
7891106003377##AVALOX                                       400MG CX 5 COMP REV##111,34 
7891106003384##AVALOX                                       400MG CX 7 COMP REV##140,88 
7896015518875##AVAMYS                                       27,5MG SPRAY NAS 120 DOS##32,39 
7896226505015##AVASTIN                                      100MG SOL INJ FA X 4ML##1.386,65 
7896226505022##AVASTIN                                      400MG SOL INJ FA X 16ML##5.368,95 
7897930761568##AVICIS                                       0,25MG SOL TOP FR 100ML+APLIC##104,83 
7896015516635##AVODART                                      0,5MG CX 10 CAP##49,17 
7896015516642##AVODART                                      0,5MG CX 30 CAP##147,54 
7896015516659##AVODART                                      0,5MG CX 90 CAP##442,62 
7898926573035##AVONEX                                       60MCG/ML SOL INJ 4BL SER 0,5ML+AGU+CAPA PROT##4.545,59 
7898926573011##AVONEX                                       60MCG/ML SOL INJ 4BL SER PREENCH 0,5ML+AGU##4.545,59 
7896382707193##AXERON                                       3MG/1,5ML SOL TOP FR 110ML+APLIC##223,28 
7897076907608##AXETIL CEFUROXIMA                            250MG CX 10 COMP##43,32 
7897076911148##AXETIL CEFUROXIMA                            250MG PO SUS FR 70ML+CM##61,95 
7897076911131##AXETIL CEFUROXIMA                            250MG/5ML FR 50ML##44,27 
7897076907615##AXETIL CEFUROXIMA                            500MG CX 10 COMP##59,09 
7898361880880##AXETILCEFUROXIMA                             250MG CX 10 COMP##48,46 
7898361884635##AXETILCEFUROXIMA                             250MG CX 100 COMP EMB HOSP##484,56 
7898361880897##AXETILCEFUROXIMA                             250MG CX 20 COMP##96,89 
7898361884642##AXETILCEFUROXIMA                             250MG CX 200 COMP EMB HOSP##969,11 
7898361884659##AXETILCEFUROXIMA                             250MG CX 500 COMP EMB HOSP##2.422,77 
7895296256025##AXETILCEFUROXIMA                             250MG/5ML SUS FR 50ML##49,48 
7898361880903##AXETILCEFUROXIMA                             500MG CX 10 COMP##60,77 
7895296257022##AXETILCEFUROXIMA                             500MG CX 10 COMP REV##62,05 
7898361884666##AXETILCEFUROXIMA                             500MG CX 100 COMP EMB HOSP##607,68 
7898361880910##AXETILCEFUROXIMA                             500MG CX 20 COMP##121,53 
7898361884673##AXETILCEFUROXIMA                             500MG CX 200 COMP EMB HOSP##1.215,38 
7898361884680##AXETILCEFUROXIMA                             500MG CX 500 COMP EMB HOSP##3.038,44 
7896658017681##AXONIUM                                      10MG CX 15 COMP##72,85 
7896658017704##AXONIUM                                      10MG CX 30 COMP##145,72 
7896658017667##AXONIUM                                      10MG CX 70 COMP##34,52 
7896658017568##AXONIUM                                      2,5MG CX 15 COMP##21,86 
7896658017582##AXONIUM                                      2,5MG CX 30 COMP##43,72 
7896658017544##AXONIUM                                      2,5MG CX 7 COMP##14,43 
7896658017629##AXONIUM                                      5MG CX 15 COMP##39,74 
7896658017643##AXONIUM                                      5MG CX 30 COMP##79,48 
7896658017605##AXONIUM                                      5MG CX 7 COMP##26,22 
7897406115659##AZANEM                                       1,0G PO INJ CX 10 FA##1.123,40 
7897406112962##AZANEM                                       1,0G PO INJ CX 10FA MONOVIAL##1.238,71 
7897406115666##AZANEM                                       1,0G PO INJ CX 25 FA##2.808,51 
7897406112504##AZANEM                                       1,0G PO INJ CX 50FA##5.856,00 
7897406115642##AZANEM                                       1,0G PO INJ CX FA##112,34 
7897406112979##AZANEM                                       1,0G PO INJ FA BOLS 100ML##123,87 
7897406112290##AZANEM                                       1G CX 1FA##123,87 
7897406112306##AZANEM                                       500MG CX 1FA+AGUA X 3ML##59,50 
7898916010021##AZELAN                                       150MG/G GEL BG 15##20,12 
7898916010052##AZELAN                                       150MG/G GEL BG 30##40,26 
7795320008791##AZELAN                                       200MG/G CREME BG 30##40,27 
7898208148418##AZEUS                                        1G PO SOL INJ CX 1FA EMB HOSP##112,33 
7898487605626##AZEUS                                        1G PO SOL INJ FA+BOLS X 100ML EMB HOSP##106,98 
7898208149194##AZEUS                                        500MG PO SOL INJ CX 1FA EMB HOSP##50,62 
7894916500586##AZI                                          1000MG CX 1 COMP##21,22 
7894916501637##AZI                                          1500MG FR SUS PO S/DIL##22,27 
7894916500609##AZI                                          1500MG SUS ORAL PO+DIL ADU##31,82 
7894916500579##AZI                                          500MG CX 3 COMP##20,47 
7894916502641##AZI                                          500MG CX 5 COMP##33,06 
7894916503358##AZI                                          600MG SUS ORAL PO+DIL##17,32 
7894916501620##AZI                                          900MG FR SUS PO S/DIL##16,93 
7894916500593##AZI                                          900MG SUS ORAL PO+DIL PED##27,96 
7896523206554##AZIMED                                       500MG CX 3 CAP##10,97 
7896523207339##AZIMED                                       500MG CX 5 CAP##13,40 
7896004707839##AZINOSTIL                                    500MG CX 3 COMP##30,45 
7896523215846##AZIOL                                        60MG/ML SUS OR FR 240ML##13,78 
7896006257851##AZIRAM                                       60MG/ML SUS ORAL FR 150ML SB HORTELA##11,72 
7896006209911##AZIRAM                                       60MG/ML SUS ORAL FR 240ML SB HORTELA##14,27 
7896004718040##AZITROGRAN                                   500MG CX 3 COMP##15,32 
7896472502189##AZITROLAB                                    1G CX 1 COMP##15,39 
7896472502196##AZITROLAB                                    500MG CX 3 COMP##19,66 
7896472503483##AZITROLAB                                    500MG CX 6 COMP##35,04 
7896472502202##AZITROLAB                                    600MG FR 10ML##23,78 
7896472502219##AZITROLAB                                    900MG FR 15ML##26,20 
7896862910709##AZITROMED                                    500MG CX 2 COMP REV##16,37 
7896862910716##AZITROMED                                    500MG CX 3 COM REV##18,18 
7896004715278##AZITROMICINA                                 1G CX 1 COMP##14,92 
7898148300532##AZITROMICINA                                 1G CX 150 COM REV EMB FRAC##670,14 
7899547502039##AZITROMICINA                                 1G CX 1COM REV##11,10 
7899547502114##AZITROMICINA                                 1G CX 50 COM REV EMB FRAC##268,89 
7899547501483##AZITROMICINA                                 40MG/ML PO SUS OR 15ML+DIL 9,2ML+SER DOS##26,15 
7899547501469##AZITROMICINA                                 40MG/ML PO SUS OR 22,5ML+DIL 13,8ML+SER DOS##32,22 
7899547501476##AZITROMICINA                                 40MG/ML PO SUS OR 22,5ML+DIL13,8ML+SER DOS##872,29 
7899547501490##AZITROMICINA                                 40MG/ML PO SUS OR 50X15ML+50DIL 9,2ML+SER DOS##703,44 
7899547502138##AZITROMICINA                                 500MG CX 150 COM REV EMB FRAC##474,52 
7896004703299##AZITROMICINA                                 500MG CX 2 COMP##17,66 
7896714215907##AZITROMICINA                                 500MG CX 2 COMP REV##26,01 
7898148290376##AZITROMICINA                                 500MG CX 3 COM##20,78 
7898060132501##AZITROMICINA                                 500MG CX 3 COMP##21,06 
7896004715957##AZITROMICINA                                 500MG CX 3 COMP##40,69 
7896714215891##AZITROMICINA                                 500MG CX 3 COMP REV##39,67 
7896004720401##AZITROMICINA                                 500MG CX 30 COMP REV##402,99 
7898148290635##AZITROMICINA                                 500MG CX 450 COM REV HOSP##1.191,38 
7898060132518##AZITROMICINA                                 500MG CX 5 COMP##34,05 
7896714215501##AZITROMICINA                                 600MG PO EXT FR 15ML+DIL 11,5ML+SER DOS##27,72 
7896004715971##AZITROMICINA                                 600MG SUS OR FR 15ML+DIL X 9ML##30,92 
7896714215495##AZITROMICINA                                 900MG PO EXT FR 22,5ML+DIL 17ML+SER DOS##34,13 
7896004715964##AZITROMICINA                                 900MG SUS OR FR 22,5ML+DIL X 12ML##38,08 
7891317101961##AZITROMICINA                                 1500MG PO SUS OR+FLAC SOL X 22ML+SER##56,88 
7897595604644##AZITROMICINA                                 500MG CX 2 COMP REV##13,76 
7897595604651##AZITROMICINA                                 500MG CX 3 COMP REV##20,67 
7897595620552##AZITROMICINA                                 500MG CX 5 COMP REV##34,45 
7896422513630##AZITROMICINA                                 500MG CX 2 COMP##17,65 
7891721276019##AZITROMICINA                                 500MG CX 2 COMP REV##14,18 
7896422514866##AZITROMICINA                                 500MG CX 3 COMP##26,46 
7891721276026##AZITROMICINA                                 500MG CX 3 COMP REV##19,87 
7896422514873##AZITROMICINA                                 500MG CX 5 COMP##43,58 
7891721022777##AZITROMICINA                                 500MG CX 5 COMP REV##29,42 
7891317101978##AZITROMICINA                                 1500MG PO SUS OR FR+FLAC SOL DILX22ML+SER DOS##52,80 
7898148300556##AZITROMICINA                                 1G CX 1 COM REV##9,75 
7898148306787##AZITROMICINA                                 1GR CX 50 COM REV EMB FRAC##236,25 
7898148290277##AZITROMICINA                                 40MG P/SUS OR CX 50FR/22,5+50FR/12ML+SER HOSP##923,32 
7898148290000##AZITROMICINA                                 40MG SUS OR 50FR/15ML+50FR/8ML+50SER HOSP##615,38 
7898148290680##AZITROMICINA                                 40MG/ML PO SUS OR FR 22,5+12ML+SER DOS##34,10 
7898148290628##AZITROMICINA                                 500MG  CX 300 COM REV EMB FRAC##697,82 
7899095233928##AZITROMICINA                                 500MG C/03 COMP REV##11,50 
7898148290369##AZITROMICINA                                 500MG CX 2 COM REV##23,29 
7891317421984##AZITROMICINA                                 500MG CX 2 COMP##15,05 
7896112113546##AZITROMICINA                                 500MG CX 2 COMP REV##12,45 
7891317421991##AZITROMICINA                                 500MG CX 3 COMP##21,92 
7898014562613##AZITROMICINA                                 500MG CX 3 COMP##10,69 
7896112113553##AZITROMICINA                                 500MG CX 3 COMP REV##16,60 
7895296220033##AZITROMICINA                                 500MG CX 3 COMP REV##25,09 
7891317444921##AZITROMICINA                                 500MG CX 5 COMP##31,23 
7898014562620##AZITROMICINA                                 500MG CX 5 COMP##21,41 
7896112125662##AZITROMICINA                                 500MG CX 5 COMP REV##20,75 
7899547521214##AZITROMICINA                                 500MG CX 5 COMP REV##24,45 
7896714208145##AZITROMICINA                                 500MG CX 5 COMP REV##24,45 
7891317450359##AZITROMICINA                                 500MG CX 60 COMP HOSP##234,52 
7891317102012##AZITROMICINA                                 600MG PO SUS OR+FLAC SOL DIL X 9ML+SER DOS##27,73 
7891317101985##AZITROMICINA                                 900MG PO SUS OR +FLAC SOL DIL X 12ML+SER DOS##34,12 
7898158696472##AZITROMICINA DIIDRATADA                      1000MG CX 1 COMP##11,08 
7898216364466##AZITROPHAR                                   500MG CX 120 COM REV EMB HOSP##507,57 
7898216360123##AZITROPHAR                                   500MG CX 3 COM REV##19,22 
7898216364831##AZITROPHAR                                   500MG CX 500 COM REV##2.241,99 
7898216364459##AZITROPHAR                                   500MG CX 60 COM REV EMB HOSP##253,79 
7898216365340##AZITROPHAR                                   600MG PO SUS CX 25FR X 15ML+SER DOS 5ML HOSP##455,88 
7898216364480##AZITROPHAR                                   600MG PO SUS CX 50 FR X 15ML+SER DOS 5ML HOSP##777,98 
7898216364473##AZITROPHAR                                   600MG PO SUS OR 25 FR X 15ML+SER 5ML EMB HOSP##409,77 
7898216364510##AZITROPHAR                                   600MG PO SUS OR FR 15ML + SER DOS 5ML##17,28 
7898216360307##AZITROPHAR                                   600MG PO SUS OR FR 15ML+5ML+8,3ML##26,38 
7898216365357##AZITROPHAR                                   600MG SUS OR CX 50 FR X 15ML+SER DOS 5ML HOSP##864,84 
7898216364503##AZITROPHAR                                   900MG PO SUS OR CX 50 FR X 22,5ML+SER DOS 5ML##1.064,95 
7898216360314##AZITROPHAR                                   900MG PO SUS OR FR 22,5+5ML+11,6ML##31,06 
7898216364527##AZITROPHAR                                   900MG PO SUS OR FR 22,5ML+SER DOS 5ML##23,67 
